               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.056488,            0.021929,            0.052346,             0.20824,             0.77453,             0.31503,              0.1762,                 nan,                 nan,                 nan,            0.070115,           0.0033206,           0.0033206
                   1,            0.037337,            0.011914,            0.036628,             0.50685,             0.77671,             0.66032,             0.45191,                 nan,                 nan,                 nan,            0.039456,           0.0059952,           0.0059952
                   2,            0.034232,           0.0093018,             0.02556,             0.53403,             0.87415,             0.68829,             0.50697,                 nan,                 nan,                 nan,           0.0081375,           0.0080098,           0.0080098
                   3,            0.027549,           0.0078167,            0.021542,              0.6607,             0.80155,             0.73414,             0.61458,                 nan,                 nan,                 nan,             0.00703,             0.00703,             0.00703
                   4,            0.024114,           0.0068857,            0.019071,              0.7233,             0.83847,             0.79191,             0.68569,                 nan,                 nan,                 nan,             0.00703,             0.00703,             0.00703
                   5,            0.020626,           0.0062526,            0.016832,             0.79591,               0.876,             0.83507,             0.72219,                 nan,                 nan,                 nan,             0.00604,             0.00604,             0.00604
                   6,            0.017861,           0.0057843,            0.014159,             0.87501,             0.83678,             0.87591,             0.77185,                 nan,                 nan,                 nan,             0.00505,             0.00505,             0.00505
                   7,            0.015213,           0.0052934,            0.012171,             0.92525,             0.85562,             0.89857,             0.82522,                 nan,                 nan,                 nan,             0.00406,             0.00406,             0.00406
                   8,            0.013048,           0.0048422,            0.010953,              0.9459,             0.86669,             0.90873,             0.86054,                 nan,                 nan,                 nan,             0.00307,             0.00307,             0.00307
                   9,            0.011197,           0.0044064,           0.0088463,             0.97103,             0.89438,             0.92089,             0.87588,                 nan,                 nan,                 nan,             0.00208,             0.00208,             0.00208
